0,Villa in Agnitsini,Folitsa Villa in Agnítsini  Corfu,1 bed,Jun 9 – 14,5.0,11,130
1,Villa in Sidari,Beach Villa Verano with private pool,8 beds,Jun 10 – 15,4.9,10,451
2,Villa in Agios Georgios,Corfu Villa near sandy beach with pool and views,8 beds,Jun 10 – 15,5.0,9,307
3,Villa in Corfu,Stunning 3 Bedroom Sea View Luxury Villa in Sinies,4 beds,Jun 10 – 17,4.94,62,382
4,Villa in Barbati,"Korypho Villa ""West""",6 beds,Jun 5 – 12,5.0,13,593
5,Villa in Kassiopi,Thea Estate,6 beds,Jun 18 – 24,4.78,9,404
6,Villa in Corfu,Stunning 4 Bedroom Sea View Luxury Villa in Sinies,5 beds,Jun 10 – 17,4.88,8,460
7,Private room in Mesoggi,Galini Beach Studios (Sea View),1 bed,Jun 5 – 12,4.98,42,83
8,Cottage in corfu,Eden Villa's corner of paradise,1 king bed,Jun 6 – 11,4.96,52,177
9,Cottage in Kavallerena,Vista Mare Assinia: Amazing views and pool  A/C,5 beds,Jun 7 – 12,4.65,26,360
10,Villa in Corfu,Villa ALGEOS suspended between sky and blue sea,8 king beds,Jun 21 – 26,4.9,30,694
11,Villa in Liapades,Stone Villa,3 beds,Jun 2 – 7,4.95,21,361
12,Villa in Corfu,Jade Villa,4 beds,Jun 11 – 16,5.0,21,633
13,Villa in Agios Ioannis,Villa Lydia,5 beds,Jun 29 – Jul 4,5.0,29,261
14,Home in Corfu,Angel's House,1 king bed,Jun 1 – 6,5.0,22,141
15,Villa in Agni  Gimari,Villa Regina: Above Agni  superb views and pool,7 beds,Jun 16 – 21,4.83,40,286
16,Home in Corfu,Yalos Beach House Corfu,7 beds,Jun 1 – 6,4.93,29,247
17,Home in Spartilas,★ Villa Faiax ★ stunning pool views Ipsos bay,6 beds,Jun 24 – 29,4.9,10,499
18,Villa in Agnos,Villa Paradiso: Near beach  superb pool and garden,9 beds,Jun 5 – 10,4.89,44,290
19,Apartment in Corfu,Cozy apartment in the heart of the historic center,2 double beds,Jun 26 – Jul 1,4.19,32,63
20,Apartment in Corfu,City walls sea view,3 beds,Jun 26 – Jul 1,4.99,95,130
21,Home in Corfu,Corfu Seaview Maisonette - Sopra IL Mare,4 beds,Jun 9 – 14,5.0,41,276
22,Home in Kerkira,OUSAKOF 8,3 beds,Jun 20 – 25,4.96,114,118
23,Home in Boukari,Blue Horizon (Boukari),3 beds,Jun 22 – 27,4.96,47,141
24,Home in Corfu,Panorama Villa II  Arillas  Corfu,5 beds,Jun 10 – 17,4.96,23,336
25,Apartment in Petriti,House Kalithea,2 beds,Jun 11 – 16,5.0,55,92
26,Apartment in Kerkira,Old Town Apartment,2 double beds,Jun 1 – 8,4.99,167,100
27,Apartment in Corfu,Apartment at the historical center!!,2 double beds,Jun 26 – Jul 1,4.79,176,83
28,Villa in Kerkira,Corfu Sea View Villa Leo,3 beds,Jun 1 – 6,4.87,38,253
29,Villa in Corfu,Rosemarine Villa by the beach in Kassiopi.,7 beds,Jun 10 – 17,4.89,18,729
30,Villa in Lefkimmi,Villa Pied dans l 'eau,7 beds,Jun 4 – 9,4.82,11,289
31,Villa in Apraos,Apraos Beachfront Studio,1 double bed,Jun 7 – 14,4.82,11,289
32,Home in Nisaki,Villa Alexandros: Lovely villa  roof terrace pool,6 beds,Jun 2 – 7,4.96,50,317
33,Villa in Nisaki,Kefalaki: Superb sceneries and views  private pool,5 beds,Jun 10 – 15,4.7,10,264
34,Apartment in Kerkira,Evita's  Old town  panoramic view,2 beds,Jun 16 – 21,5.0,38,78
35,Villa in Agnitsini,Kerasia Bay View Villa  Corfu,8 beds,Jun 10 – 15,5.0,6,371
37,Apartment in Benitses  Corfu,Pantazis Studio No 7,1 double bed,Jun 9 – 14,4.73,83,45
38,Villa in Kerkira,Villa Maxim  Halikounas Corfu,7 beds,Jun 5 – 12,4.85,27,380
39,Villa in Corfu,Hillside Villa 3 Provence with pool and sea view,5 beds,Jun 29 – Jul 4,4.8,10,264
40,Cottage in Nissaki,Villa Ioanna  stone villa - private swimming pool,3 beds,Jun 8 – 15,5.0,27,318
41,Cottage in Corfu,"Villa ""SPITAKI"" Astrakeri",4 single beds,Jun 1 – 6,4.98,52,83
42,Apartment in Kerkira,Kiko Studios II,1 double bed,Jun 29 – Jul 4,4.98,40,80
43,Cottage in Dassia,The Wild Cyclamen stone house and estate,1 king bed,Jun 19 – 26,5.0,34,106
44,Apartment in Palaiokastritsa,Elysium Apartments Corfu-Studio Partial Sea View,1 bed,Jun 7 – 12,4.89,18,64
45,Villa in Pentati,'Anthelia' Nr Ag Gordis - Prestige Villas of Corfu,6 beds,Jun 18 – 23,5.0,6,992
46,Apartment in Kerkira,Bright Elegant Apartment - Corfu Old Town,2 beds,Jun 19 – 24,4.97,112,100
47,Villa in Kato Korakiana,Boutique Sea View & Pool Serene Corfu Villa,6 beds,Jun 10 – 15,4.96,23,528
48,Apartment in Kerkira,Fabulous apartment in the heart of the Old Town,5 beds,Jun 1 – 6,4.9,98,119
49,Condo in Corfu,Dimitri's Apartment,3 beds,Jun 14 – 19,4.92,351,89
50,Condo in Kerkira,My apartment,1 bed,Jun 1 – 6,4.57,21,47
51,Home in Corfu,Beachfront villa in Avlaki Kassiopi Corfu,12 beds,Jun 20 – 27,4.75,4,890
52,Villa in Roda,Luxury Villa Hera - Beachfront,8 beds,Jun 13 – 18,4.84,25,711
53,Villa in Corfu,☀️VILLA PELEKAS - 4BR/4BA w/heated pool & views☀️,8 single beds,Jun 16 – 21,5.0,15,529
54,Home in Corfu,Detached house with privacy and swimming pool,3 beds,Jun 26 – Jul 1,4.61,52,217
55,Home in Corfu,Modern stone house with stunning sea view,2 beds,Jun 21 – 28,4.98,53,403
56,Villa in Pelekas,Yucca Tree Cottage  nice house with large pool,4 single beds,Jun 5 – 10,5.0,17,183
57,Apartment in Kerkira,Lovely apartment in the city of Kerkira,1 bed,Jun 8 – 13,4.94,34,71
58,Villa in Mparmpati,"Korypho Villa ""East""",5 beds,Jun 3 – 10,4.88,17,593
59,Villa in Agnos,Luxury Beach Villa Danune with private pool,3 beds,Jun 20 – 26,4.83,6,330
60,Condo in Agios Ioannis Peristeron,Villa Fourtuna Studio,2 beds,Jun 1 – 6,4.81,58,59
61,Home in Corfu,Cosy eco cottage in Liapades Corfu,2 beds,Jun 30 – Jul 5,4.95,199,158
62,Apartment in Kerkira,Corfu Town Penthouse,3 beds,Jun 1 – 6,5.0,9,235
63,Apartment in Kerkira,Kiko Studios I,2 beds,Jun 1 – 6,5.0,33,89
64,Cottage in Corfu,Luxurious Beachfront Fisherman's Cottage In Agni,3 beds,Jun 18 – 23,5.0,4,682
65,Villa in Nisaki,Aphrodite Club Villa with private pool,16 beds,Jun 1 – 7,5.0,4,682
66,Home in Nisaki,Villa Kalithea Corfu  villa with a fabulous view,6 beds,Jun 23 – 28,5.0,15,412
67,Home in Kerkira,Casa Margarita Corfu Beach House Reg. 1102941,10 beds,Jun 10 – 15,5.0,23,543
68,Villa in Kassiopi,Villa Apleton Kassiopi Corfu,6 beds,Jun 1 – 8,4.85,20,353
69,Condo in Kerkira,Studio Niovi  Mon Repos Κερκήρας.,1 double bed,Jun 1 – 6,4.74,198,60
70,Villa in Sidari,Villa Plastiras Sidari with private pool,11 beds,Jun 24 – 29,5.0,9,385
71,Villa in Kerkira,Kommeno Bay View - Prestige Villas of Corfu,5 beds,Jun 1 – 8,5.0,9,385
72,Villa in Kassiopi,Beach Villa Petros with private pool,9 beds,Jun 15 – 22,4.8,10,444
73,Apartment in Paleokastritsa,Patio sea view l Close to everything l 2 BR + pkg,3 beds,Jun 1 – 8,5.0,62,288
74,Villa in Kalami,Kalami Sunlight Luxury Villa  Near Beach with pool,5 beds,Jun 1 – 7,4.91,58,355
75,Villa in Kerkira,Melithea Seaview Villa,7 beds,Jun 19 – 24,5.0,12,799
76,Cottage in Lefkimmi,"Home ""Maro""-Dream beach house",2 double beds,Jun 1 – 6,4.86,139,336
77,Condo in Kerkira,Platy Kantouni apartment in the center of old town,2 beds,Jun 10 – 15,4.97,140,83
78,Villa in Mpenitses,Ionian Garden Villas: Villa Pietra,8 beds,Jun 17 – 24,4.95,43,784
79,Cottage in Pentati,Mantzaros Traditional House,3 beds,Jun 10 – 15,4.97,71,84
80,Villa in Agios Gordios,Villa Sea View Descansa - Prestige Villas of Corfu,4 beds,Jun 18 – 23,4.86,7,583
81,Villa in Apraos,Apraos Beachfront House,4 beds,Jun 29 – Jul 6,4.86,7,583
82,Apartment in Kerkira,Old Town Home,2 beds,Jun 1 – 8,4.96,189,77
83,Condo in Kerkira,Luxury Nest,2 beds,Jun 4 – 9,4.95,20,69
84,Villa in Kalami,Kalami Beach Luxury Villa with private pool,5 beds,Jun 7 – 13,4.88,17,396
85,Apartment in Kerkira,APT IN THE HISTORICAL CENTER,3 beds,Jun 2 – 7,4.57,53,89
86,Cottage in Pentati,Mantzaros Little House,4 beds,Jun 23 – 28,5.0,30,106
87,Apartment in Kerkira,The Magic Flat: Top floor with amazing view,2 double beds,Jun 1 – 6,4.98,89,153
88,Villa in Corfu,The RivieraBarbati PrestigeVI.Blue 2-Bedroom PrPool,3 beds,Jun 6 – 11,4.98,89,153
89,Apartment in Αχαράβη,Beach Villa Vaso Ena: Beachfront  stunning views,4 single beds,Jun 8 – 13,4.89,18,84
90,Apartment in Palaiokastritsa,Vanilla calm studio 3,1 queen bed,Jun 1 – 6,4.94,77,44
91,Apartment in Nissaki,Nissaki Suite Poseidon,3 beds,Jun 20 – 27,4.79,29,117
92,Condo in Kerkira,Lovely apartment in the city of Κέρκυρα,1 queen bed,Jun 13 – 18,5.0,26,76
93,Home in Kerkira,Casetta @Old Town Corfu,1 double bed,Jun 1 – 6,New,0,83
94,Apartment in Corfu,Senses Suite Tria: Luxury  renovated Apartment,1 double bed,Jun 10 – 15,4.89,28,105
95,Home in Kassiopi,Villa Calypso  Kassiopi - 'Prestige Villas Corfu',5 beds,Jun 9 – 14,4.89,28,105
96,Condo in Kerkira,Old Town Hideaway,3 beds,Jun 9 – 14,4.87,38,97
97,Villa in Corfu,Luxury Villa Helanes,5 beds,Jun 13 – 18,5.0,4,794
98,Bungalow in Palaiokastritsa,Akron bungalow 50m footpath to the beach,3 beds,Jun 1 – 6,4.98,42,200
99,Villa in Corfu,MaisonRose  the French Villa of Corfu (new!),7 beds,Jun 19 – 24,5.0,10,"1,128"
100,Villa in Gazatika,Corfu Villa Solitude,6 beds,Jun 1 – 6,5.0,31,438
101,Cottage in Corfu,Charming little house in North-East Corfu,1 king bed,Jun 8 – 13,5.0,36,133
102,Apartment in Kerkira,Casa Blanca,1 double bed,Jun 5 – 10,4.99,93,104
103,Bungalow in Σιδάρι,Casa Giardino  Sidari Beach,8 beds,Jun 4 – 9,4.92,91,130
104,Home in Corfu,Lux Seafront Villa-Heated Pool-Direct beach access,4 double beds,Jun 3 – 10,5.0,12,705
105,Condo in Corfu,villa fourtuna apartment,4 single beds,Jun 1 – 6,4.63,49,71
106,Villa in Kalami,Villa Rastoni |Sunny family Villa top Views Kalami,7 beds,Jun 3 – 10,5.0,17,505
107,Apartment in Corfu,Angelina Studio,1 double bed,Jun 13 – 18,4.53,43,49
108,Apartment in Kerkira,Davina The City Central Suite,1 bed,Jun 1 – 6,New,0,152
109,Cottage in Άγιος Ματθαίος,Beachfront unique view  privacy  family & friends,4 beds,Jun 8 – 15,4.94,34,274
110,Villa in Corfu,Villa Chrysoula,6 beds,Jun 1 – 6,4.93,71,282
111,Cottage in Kassiopi,Villa Varvara: Beach House with stunning views,3 beds,Jun 1 – 6,4.89,18,203
112,Home in Arillas Magouladon,Panorama Villas in Arillas  Corfu,5 beds,Jun 24 – Jul 1,4.89,19,359
113,Villa in Nissaki,Nissaki Suite Artemis Apartment,1 double bed,Jun 24 – 29,4.58,24,98
114,Villa in Agios Ioannis,Villa Theodora,5 beds,Jun 11 – 16,4.96,24,212
115,Villa in Melitsa,Villa Cocoon Sidari with private pool,5 beds,Jun 1 – 6,5.0,11,248
116,Home in GR,Picturesque Seaside Corfu House!,4 beds,Jun 1 – 6,4.96,75,207
117,Villa in Kontogialos,Ocean View Luxury Villa Ethra,4 beds,Jun 10 – 17,4.79,14,618
118,Home in Petriti,Ioanna's Fontana,3 beds,Jun 22 – 27,5.0,25,163
119,Villa in Corfu,Villa Agni,2 queen beds,Jun 11 – 16,4.79,42,255
120,Villa in Chalikounas,Land of Sirius,2 queen beds,Jun 10 – 16,5.0,19,271
121,Villa in Corfu,Villa Vardia-Amazing Seaviews with heated pool,4 beds,Jun 30 – Jul 7,5.0,14,575
122,Villa in Kassiopi,Villa Oneiro: Stunning views  private pool  A/C,7 beds,Jun 9 – 14,4.8,15,293
123,Villa in Nisaki,Luxury My Villa Corfu by GHH,8 double beds,Jun 5 – 10,4.9,10,"1,480"
124,Home in Pagoi,Kumquart Estate - up to 20 guests  private pool,14 beds,Jun 17 – 22,5.0,13,"1,072"
125,Condo in Κέρκυρα,Avgi's Apartment Campielo,3 beds,Jun 14 – 19,4.97,134,106
126,Villa in Dassia,Villa St. Nicholas House With Private Pool.,13 beds,Jun 4 – 11,4.63,27,764
127,Home in Kerkira,Morosa Home,3 beds,Jun 4 – 9,5.0,14,234
128,Home in Kerkira,"House ""Irini"" in Corfu town",7 beds,Jun 1 – 6,4.63,38,254
129,Condo in Corfu Town,The Fan Studio in 17th-Century Old Corfu Town Building,1 queen bed,Jun 24 – 29,5.0,116,130
130,Villa in Karniaris,Beachfront Villa Seasun - Beachfront Villa Seasun,11 beds,Jun 25 – 30,4.88,8,"1,003"
131,Apartment in Gouvia,Studio Yellow  Gouvia Corfu Greece Κέρκυρα 235076,1 queen bed,Jun 1 – 6,4.92,112,57
132,Villa in Nissaki,Villa Hera: Large Private pool   Sea Views Wi Fi,6 beds,Jun 23 – 30,5.0,18,413
133,Apartment in Corfu,DePaolis Corfu Town Apartment,1 double bed,Jun 1 – 6,4.34,289,59
134,Apartment in Kerkira,Luxury Seaview Suite Mouragia,2 double beds,Jun 1 – 6,4.94,51,213
135,Treehouse in Άνω Κορακιάνα,The Tree house in Ano Korakiana,1 bed,Jun 1 – 6,4.93,122,118
136,Villa in Corfu,LA VISTA E BELLA ESTATE (NEAR ACHILLEION PALACE),9 beds,Jun 1 – 6,5.0,15,"1,175"
137,Villa in Nisákion,Korypho Villa Nissaki,8 beds,Jun 3 – 10,5.0,6,"1,706"
138,Villa in Mparmpati,Luxury Villa Akti Barbati 3 with private pool,2 beds,Jun 7 – 12,4.84,19,224
139,Apartment in Άγιος Γεώργιος Πάγων,Seaside studio,2 beds,Jun 1 – 6,4.83,53,42
140,Villa in Nisaki,Old Stone House,3 beds,Jun 18 – 23,New,0,222
141,Cottage in Nissaki,Natasha: Superb views  private pool and gardens,5 beds,Jun 8 – 13,5.0,5,294
142,Apartment in Kerkira,Lilliput Studio Corfu Old Town,1 double bed,Jun 1 – 6,4.9,115,90
143,Villa in Kalami,Colorful and sunny! in the best part of Corfu,4 beds,Jun 3 – 10,4.89,19,325
144,Villa in Dassia,Petrinos Cottage  Private Pool  300m to the beach.,1 double bed,Jun 30 – Jul 5,4.9,21,294
145,Cottage in Paleokastritsa,Pergola Cottages,3 beds,Jun 1 – 6,4.83,75,112
146,Condo in Kerkira,The Heritage Penthouse!  Old City Centre,5 beds,Jun 3 – 8,4.91,11,517
147,Home in Agios Gordios,Villa Renata with private Plunge Pool,3 beds,Jun 12 – 19,5.0,9,348
148,Villa in Nisaki,Nissaki Sunlight NEW Home-2min from Beach+Pool,4 beds,Jun 9 – 14,4.88,25,179
149,Home in Corfu,The Beach House (Cosmos beach),4 beds,Jun 10 – 17,5.0,21,318
150,Apartment in Kerkira,Old Town Luxury Suites 'Contessa',3 beds,Jun 10 – 15,4.89,92,212
151,Villa in Corfu,Xenonerantzia Country style Villa,4 beds,Jun 1 – 6,5.0,24,470
152,Apartment in Corfu,Art House in Corfu old Town with sea view,1 double bed,Jun 4 – 9,5.0,92,118
153,Villa in Corfu,Villa Imerolia Beach,4 beds,Jun 30 – Jul 5,4.89,18,758
